evaluation_variant,sample_number,complaint_id,prompt_style,summary_field,summary,summary_source,generation_valid,validation_issues,non_empty,summary_words,risk_mention,red_flag_coverage,archetype_keyword_coverage,unsupported_number_rate,source_token_support
baseline_validated,1,11817563,baseline,validated_summary,"i sent money_amount to redacted account and it never added. i closed out of payment_app and logged back in. the money_amount that was missing disappeared immediately. i went to support i was asked how could i be helped, i said you have stolen my money. and they said we are logging off for today. and never got back on.",flan_t5,True,,1.0,59,0.0,0.5,0.5,0.0,0.96
baseline_validated,2,13817257,baseline,validated_summary,"[REDACTED] , married woman on redacted az.",flan_t5,True,,1.0,7,0.0,0.0,0.0,0.0,1.0
baseline_validated,3,7227374,baseline,validated_summary,Consumer complaint: My phone/device was lost and my card was linked to payment_app overtime.,flan_t5,True,,1.0,14,0.0,0.0,0.25,0.0,0.7777777777777778
baseline_validated,4,14840055,baseline,validated_summary,i was a victim of redacted fraudulent transactions processed via payment_app,flan_t5,True,,1.0,11,0.0,0.0,0.25,0.0,1.0
baseline_validated,5,7145537,baseline,validated_summary,i opened an account in 2021 and faithfully paid redacted each month until i reached a secured card balance of redacted. and bank statements showing all of my transactions.,extractive_fallback,False,instruction_echo,1.0,29,0.0,0.0,0.0,0.0,1.0
baseline_validated,6,15982261,baseline,validated_summary,Consumer complaint: [REDACTED] was made using my bank debit card.,flan_t5,True,,1.0,10,0.0,0.0,0.0,0.0,0.75
baseline_validated,7,4202344,baseline,validated_summary,i am writing this complaint because i was trying to get a refund for my [REDACTED] account ended up getting sent to a weird customer service to where they try to get my bank card information in my personal information they ended up getting ahold of it in a try to debit my account for money_amount money_amount on 2 separate transactions and the payment_app is the company that he was using i have the actual,flan_t5,True,,1.0,75,0.0,1.0,0.5,0.0,1.0
baseline_validated,8,7571971,baseline,validated_summary,i discovered this on redacted / redacted / redacted when redacted sent me the attached forged check after i inquired about why it still wasn't showing up in my account at redacted. we submitted a declaration of unauthorized endorsement to redacted and their bank (.,extractive_fallback,False,redaction_dominated,1.0,45,0.0,0.0,0.6666666666666666,0.0,1.0
baseline_validated,9,4703081,baseline,validated_summary,Consumer complaint: [REDACTED] / redacted / redacted and was denied my phone was stolen and I thi then bbva denied the dispute,flan_t5,True,,1.0,22,0.0,0.0,0.0,0.0,0.7777777777777778
baseline_validated,10,2726110,baseline,validated_summary,i received a cashiers check in the amount of redacted it came special delivery through the mail. the date on the check is [REDACTED],flan_t5,True,,1.0,24,0.0,1.0,0.25,0.0,1.0
