evaluation_variant,sample_number,complaint_id,prompt_style,summary_field,summary,summary_source,generation_valid,validation_issues,non_empty,summary_words,risk_mention,red_flag_coverage,archetype_keyword_coverage,unsupported_number_rate,source_token_support
baseline_raw,1,11817563,baseline,generated_summary,"i sent money_amount to redacted account and it never added. i closed out of payment_app and logged back in. the money_amount that was missing disappeared immediately. i went to support i was asked how could i be helped, i said you have stolen my money. and they said we are logging off for today. and never got back on.",flan_t5,True,,1.0,59,0.0,0.5,0.5,0.0,0.96
baseline_raw,2,13817257,baseline,generated_summary,"[REDACTED] , married woman on redacted az.",flan_t5,True,,1.0,7,0.0,0.0,0.0,0.0,1.0
baseline_raw,3,7227374,baseline,generated_summary,Consumer complaint: My phone/device was lost and my card was linked to payment_app overtime.,flan_t5,True,,1.0,14,0.0,0.0,0.25,0.0,0.7777777777777778
baseline_raw,4,14840055,baseline,generated_summary,i was a victim of redacted fraudulent transactions processed via payment_app,flan_t5,True,,1.0,11,0.0,0.0,0.25,0.0,1.0
baseline_raw,5,7145537,baseline,generated_summary,Do not invent facts. Avoid at all costs.,extractive_fallback,False,instruction_echo,1.0,8,0.0,0.0,0.0,0.0,0.5
baseline_raw,6,15982261,baseline,generated_summary,Consumer complaint: [REDACTED] was made using my bank debit card.,flan_t5,True,,1.0,10,0.0,0.0,0.0,0.0,0.75
baseline_raw,7,4202344,baseline,generated_summary,i am writing this complaint because i was trying to get a refund for my [REDACTED] account ended up getting sent to a weird customer service to where they try to get my bank card information in my personal information they ended up getting ahold of it in a try to debit my account for money_amount money_amount on 2 separate transactions and the payment_app is the company that he was using i have the actual,flan_t5,True,,1.0,75,0.0,1.0,0.5,0.0,1.0
baseline_raw,8,7571971,baseline,generated_summary,redacted / redacted /28,extractive_fallback,False,redaction_dominated,1.0,4,0.0,0.0,0.0,0.0,1.0
baseline_raw,9,4703081,baseline,generated_summary,Consumer complaint: [REDACTED] / redacted / redacted and was denied my phone was stolen and I thi then bbva denied the dispute,flan_t5,True,,1.0,22,0.0,0.0,0.0,0.0,0.7777777777777778
baseline_raw,10,2726110,baseline,generated_summary,i received a cashiers check in the amount of redacted it came special delivery through the mail. the date on the check is [REDACTED],flan_t5,True,,1.0,24,0.0,1.0,0.25,0.0,1.0
baseline_raw,11,6152892,baseline,generated_summary,Consumer complaint is a consumer complaint.,flan_t5,True,,1.0,6,0.0,0.0,0.0,0.0,0.0
baseline_raw,12,4516979,baseline,generated_summary,i applied for a job on redacted for an [REDACTED] position for a school.,flan_t5,True,,1.0,14,0.0,0.0,0.0,0.0,1.0
baseline_raw,13,1620540,baseline,generated_summary,Consumer complaint: I am a customer of rush card,flan_t5,True,,1.0,9,0.0,1.0,0.0,0.0,0.6
baseline_raw,14,1620841,baseline,generated_summary,Do not invent facts. Do not invent facts.,extractive_fallback,False,instruction_echo; repeated_sentence,1.0,8,0.0,1.0,0.0,0.0,0.0
baseline_raw,15,1868179,baseline,generated_summary,Consumer complaint: i received a redacted gift card as a birthday present.,flan_t5,True,,1.0,12,0.0,0.0,0.0,0.0,0.75
baseline_raw,16,2273730,baseline,generated_summary,if the transaction is declined i will print the transaction.,flan_t5,True,,1.0,10,0.0,1.0,0.0,0.0,0.5
baseline_raw,17,1762402,baseline,generated_summary,Consumer complaint on redacted / redacted / 2015,flan_t5,True,,1.0,8,0.0,1.0,0.0,0.0,0.5
baseline_raw,18,2400987,baseline,generated_summary,Consumer complaint: reloadit packs were added to two different reloadit safes.,flan_t5,True,,1.0,11,0.0,0.0,0.0,0.0,0.7142857142857143
