evaluation_variant,sample_number,complaint_id,prompt_style,summary_field,summary,summary_source,generation_valid,validation_issues,non_empty,summary_words,risk_mention,red_flag_coverage,archetype_keyword_coverage,unsupported_number_rate,source_token_support
structured_validated,1,11817563,structured,validated_summary,Consumer complaint: i sent money_amount to redacted account and it never added. i logged into my other redacted accounts and everything was gone from both accounts. [REDACTED] and the other money_amount.,flan_t5,True,,1.0,31,0.0,0.5,0.25,0.0,0.875
structured_validated,2,13817257,structured,validated_summary,"[REDACTED] , married woman on redacted az.",flan_t5,True,,1.0,7,0.0,0.0,0.0,0.0,1.0
structured_validated,3,7227374,structured,validated_summary,my phone/device was lost and my card was linked to payment_app overtime and gradually emptied into redacted transactions that im unaware of. i realized this recently and luckily caught it.,extractive_fallback,False,instruction_echo; repeated_sentence,1.0,30,0.0,0.0,0.25,0.0,1.0
structured_validated,4,14840055,structured,validated_summary,i was a victim of redacted fraudulent transactions processed via payment_app,flan_t5,True,,1.0,11,0.0,0.0,0.25,0.0,1.0
structured_validated,5,7145537,structured,validated_summary,i opened an account in 2021 and faithfully paid redacted each month until i reached a secured card balance of redacted. and bank statements showing all of my transactions.,extractive_fallback,False,instruction_echo,1.0,29,0.0,0.0,0.0,0.0,1.0
structured_validated,6,15982261,structured,validated_summary,"on redacted / redacted /year>, two unauthorized debit card transactions were made using my bank debit card through a digital wallet ( [REDACTED] ). i immediately reported these transactions to bank and filed a fraud claim.",extractive_fallback,False,instruction_echo,1.0,36,0.0,0.0,0.3333333333333333,0.0,1.0
structured_validated,7,4202344,structured,validated_summary,i am writing this complaint because i was trying to get a refund for my [REDACTED] account ended up getting sent to a weird customer service to where they try to get my bank card information in my personal information they ended up getting ahold of it in a try to debit my account for money_amount money_amount on 2 separate transactions and the payment_app is the company that he was using i have the actual,flan_t5,True,,1.0,75,0.0,1.0,0.5,0.0,1.0
structured_validated,8,7571971,structured,validated_summary,i discovered this on redacted / redacted / redacted when redacted sent me the attached forged check after i inquired about why it still wasn't showing up in my account at redacted. we submitted a declaration of unauthorized endorsement to redacted and their bank (.,extractive_fallback,False,redaction_dominated,1.0,45,0.0,0.0,0.6666666666666666,0.0,1.0
structured_validated,9,4703081,structured,validated_summary,i recently had a fraudulent wire charge for [REDACTED] / redacted / redacted and was denied my phone was stolen and i thi then bbva denied the dispute.,extractive_fallback,False,instruction_echo,1.0,28,0.0,0.0,0.0,0.0,1.0
structured_validated,10,2726110,structured,validated_summary,i received a cashiers check in the amount of redacted it came special delivery through the mail.,flan_t5,True,,1.0,17,0.0,1.0,0.25,0.0,1.0
structured_validated,11,6152892,structured,validated_summary,so back on redacted the redacted on a sunday i went to a salon shop to get my hair done i had swiped my card there 5 minutes after i left i got some unknown transactions that i went to a gas station ( redacted.,extractive_fallback,False,instruction_echo,1.0,45,0.0,0.0,0.0,0.0,1.0
structured_validated,12,4516979,structured,validated_summary,i applied for a job on redacted for an [REDACTED] position for a school.,flan_t5,True,,1.0,14,0.0,0.0,0.0,0.0,1.0
structured_validated,13,1620540,structured,validated_summary,Consumer complaint: a customer of rush card.,flan_t5,True,,1.0,7,0.0,1.0,0.0,0.0,0.6
structured_validated,14,1620841,structured,validated_summary,"not sure what category it falls under, but i am a rush card holder and has not had access to the remaining money on my card.",extractive_fallback,False,instruction_echo; repeated_sentence,1.0,26,0.0,1.0,0.0,0.0,1.0
structured_validated,15,1868179,structured,validated_summary,i received a redacted gift card as a birthday present.,flan_t5,True,,1.0,10,0.0,0.0,0.0,0.0,1.0
structured_validated,16,2273730,structured,validated_summary,i made several transactions that were declined and the company held up my money for seven days each time stating it was the other company that was holding up the money. if the transaction is declined what ever money is on the card should be.,extractive_fallback,False,instruction_echo,1.0,45,0.0,1.0,0.0,0.0,1.0
structured_validated,17,1762402,structured,validated_summary,Consumer complaint: redacted / redacted / 2015,flan_t5,True,,1.0,7,0.0,1.0,0.0,0.0,0.5
structured_validated,18,2400987,structured,validated_summary,Consumer complaint: reloadit packs were added to two different reloadit safes.,flan_t5,True,,1.0,11,0.0,0.0,0.0,0.0,0.7142857142857143
structured_validated,19,1372947,structured,validated_summary,[REDACTED] received a congratulation email from [REDACTED],flan_t5,True,,1.0,7,0.0,1.0,0.0,0.0,1.0
structured_validated,20,2110713,structured,validated_summary,"my card was fraudulently used for over redacted worth of transactions without my consent. i was advised upon signing and returning the affidavit by redacted / redacted /2016, that i would receive provisional credit/refund of all charges while the company investigated issue.",extractive_fallback,False,redaction_dominated,1.0,42,0.0,1.0,0.0,0.0,1.0
structured_validated,21,2044874,structured,validated_summary,"Consumer complaint: i was issued a promotional money_amount prepaid card from bank bank. it was not clear to me that on the "" good through '' date on the card the funds would "" disappear. '' the card clearly says debit on it, and i thought it would be treated like my bank debit card.",flan_t5,True,,1.0,55,0.0,1.0,0.0,0.0,0.9090909090909091
structured_validated,22,1295778,structured,validated_summary,i was a victim of a scam.,flan_t5,True,,1.0,7,0.0,0.0,0.2,0.0,1.0
structured_validated,23,1591580,structured,validated_summary,"received check fro bank , llc for money_amount. check says refund but also says expense check accounts payable, called numerous people in bank -all clueless.",extractive_fallback,False,instruction_echo,1.0,25,0.0,1.0,0.0,0.0,1.0
structured_validated,24,1653254,structured,validated_summary,redacted has forms for lost credit cards free they at redacted won. [REDACTED] left on claim without issue money or funds on our account redacted left and we won the grace period represented by [REDACTED] # [REDACTED] represented in federal court redacted represented we have.,extractive_fallback,False,too_short; redaction_dominated,1.0,45,0.0,1.0,0.0,0.0,1.0
structured_validated,25,6791314,structured,validated_summary,"i called bank redacted / redacted / redacted immediately [REDACTED] woke up and saw my account drained at redacted to report fraudulent withdrawals. i again called bank on redacted / redacted / redacted at redacted to check the status of my claim, and they told me their investigation could not prove that there was fraud, and that they would not refund my money.",flan_t5,True,,1.0,63,0.0,0.0,0.3333333333333333,0.0,1.0
structured_validated,26,7738299,structured,validated_summary,i fell victim to a multilayered scam operation orchestrated by [REDACTED] .,flan_t5,True,,1.0,12,0.0,1.0,0.3333333333333333,0.0,1.0
structured_validated,27,6027650,structured,validated_summary,they tried to make me submit a second payment from the original account i used to submit the payment using redacted as the method of payment. the type of bank account did not support redacted and i was forced to use my personal checking account.,extractive_fallback,False,redaction_dominated,1.0,45,0.0,1.0,0.0,0.0,1.0
structured_validated,28,3317711,structured,validated_summary,Report fraud to the authorities.,flan_t5,True,,1.0,5,0.0,0.0,0.0,0.0,0.6666666666666666
structured_validated,29,4593113,structured,validated_summary,i have trust bank new york to wire payments that were a fraud to ctiibanamex to an account [REDACTED]. bank contacted an open cases for each wire and but there was one on redacted and one still pending but they did not stop those two.,extractive_fallback,False,too_short; redaction_dominated,1.0,45,0.0,0.0,0.0,0.0,1.0
structured_validated,30,11521586,structured,validated_summary,payment_app didnt ask if it was the correct person i was sending money to and accidentally sent it to the wrong person they wouldnt reimburse me.,extractive_fallback,False,instruction_echo,1.0,26,0.0,1.0,0.5,0.0,1.0
