evaluation_variant,prompt_style,sample_number,complaint_id,complaint,summary_source,raw_generated_summary,validated_summary,output_for_review,factuality_1_5,relevance_1_5,clarity_1_5,usefulness_1_5,hallucination_found_yes_no,review_notes
baseline_raw,baseline,1,11817563,"i sent money_amount to redacted account and it never added. i closed out of payment_app and logged back in. the money_amount that was showing disappeared immediately. i logged into my other redacted accounts and everything was gone from both accounts. [REDACTED] and the other money_amount . i went to support i was asked how could i be helped, i said you have stolen my money. and they said we are logging off for today. and never got back on. i tried to call redacted times they hung up in mid ring. then i called another number and it hung up and the next time it said they are closed until in the morning. i literally watched them take it and couldn't do anything. i tried to unlink my cards from my bank accounts and you can't even click on it continues to blink and clicking on it.",flan_t5,"i sent money_amount to redacted account and it never added. i closed out of payment_app and logged back in. the money_amount that was missing disappeared immediately. i went to support i was asked how could i be helped, i said you have stolen my money. and they said we are logging off for today. and never got back on.",,"i sent money_amount to redacted account and it never added. i closed out of payment_app and logged back in. the money_amount that was missing disappeared immediately. i went to support i was asked how could i be helped, i said you have stolen my money. and they said we are logging off for today. and never got back on.",,,,,,
baseline_raw,baseline,2,13817257,"( fraud- $ redacted cash advance taken from [REDACTED] somehow? ) i am a [REDACTED] , married woman on redacted living in redacted az. i answered the redacted text saying i had a money_amount that urgently had to be paid so i paid it using my bank ( wf ) credit card, which was declined for some reason. i used redacted as well, declined. hours later, bank fraud calls me and agent [REDACTED] , agent # called to report that there was fraud.at first i was hesitated but said he could ask supervisor. he said, what if i gave you month & year of your birthday you give me day. ok seemed they had my info. also if i looked in to bank , did i see [REDACTED] & did i make those purchases? no he wanted to address taking those off. i believe he told me at some point the police were looking to go catch the people in their seats. he locked me out of my account as they worked on them for protection. then he saw as he was wrapping up, a high dollar amount was taken & i had to be transferred to a different fraud specialist redacted phone # redacted i was busy so i had yo called him back i",flan_t5,"[REDACTED] , married woman on redacted az.",,"[REDACTED] , married woman on redacted az.",,,,,,
baseline_raw,baseline,3,7227374,my phone/device was lost and my card was linked to payment_app overtime and gradually emptied into redacted transactions that im unaware of. i realized this recently and luckily caught it.,flan_t5,Consumer complaint: My phone/device was lost and my card was linked to payment_app overtime.,,Consumer complaint: My phone/device was lost and my card was linked to payment_app overtime.,,,,,,
baseline_raw,baseline,4,14840055,"subject : formal complaint regarding payment_app 's refusal to assist in fraudulent transactions and chargeback process to whom it may concern, my name is [REDACTED] , and i am submitting this complaint regarding paypals conduct in handling a series of fraudulent transactions processed through their platform. i have encountered persistent negligence, miscommunication, and refusal to take accountability by payment_app during the chargeback process. summary of the redacted : between redacted / redacted / redacted and redacted / redacted / redacted , i was a victim of redacted fraudulent transactions processed via payment_app . despite reporting the transactions promptly and submitting all relevant documentation ( including a formal fraud report to the ftc, receipt id : redacted ), payment_app failed to take any decisive action or provide real support. disputed transactions : below are the redacted payment_app [REDACTED] in question : redacted money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] of these transactions ( items redacted ) occurred in redacted and were submitted by my issuing banks [REDACTED] and [REDACTED] ) for chargeback. however, redacted and redacted rejected them due",flan_t5,i was a victim of redacted fraudulent transactions processed via payment_app,,i was a victim of redacted fraudulent transactions processed via payment_app,,,,,,
baseline_raw,baseline,5,7145537,"self financial is engaged in shady and unscrupulous business practices, defrauding vulnerable individuals of thousands of dollars, including me. i opened an account in 2021 and faithfully paid redacted each month until i reached a secured card balance of redacted . during a questionable "" review process '' my account was disabled and until i furnished all of the above, it would not be reactivated : photos of my social security card, driver 's license, debit card, paystub showing my ssn, and bank statements showing all of my transactions, not only those related to self financial. it is a complete violation of my privacy and absurd, considering none of these documents were required when i opened my account. i can only guess the nefarious activities behind the reasons they delay paying consumers their own money back. avoid at all costs.",flan_t5,Do not invent facts. Avoid at all costs.,,Do not invent facts. Avoid at all costs.,,,,,,
baseline_raw,baseline,6,15982261,"on redacted / redacted /year>, two unauthorized debit card transactions were made using my bank debit card through a digital wallet ( [REDACTED] ). money_amount at [REDACTED] money_amount } at [REDACTED] , redacted i did not make these purchases, i was not in redacted xxxxk on that date, and i did not authorize anyone to use my debit card or link it to [REDACTED] . my debit card information was fraudulently added to another device and used without my knowledge or consent. i immediately reported these transactions to bank and filed a fraud claim. bank denied my claim, stating that because the charges were processed through [REDACTED] , they do not consider them fraud. i requested that bank reopen the claim, but they again denied it with the same reasoning. this denial is unacceptable and inconsistent with my rights under the electronic fund transfer act and regulation redacted ( 12 cfr part 1005 ). regulation redacted requires bank to investigate unauthorized electronic fund transfers and provide evidence of authorization. simply stating that [REDACTED] is secure does not prove that i personally authorized these transactions. i am requesting : 1. that bank provide all records of its investigation, including device provisioning logs and authentication data showing what device my card was linked to.",flan_t5,Consumer complaint: [REDACTED] was made using my bank debit card.,,Consumer complaint: [REDACTED] was made using my bank debit card.,,,,,,
baseline_raw,baseline,7,4202344,hello my name is [REDACTED] i am writing this complaint because i was trying to get a refund for my [REDACTED] account ended up getting sent to a weird customer service to where they try to get my bank card information in my personal information they ended up getting ahold of it in a try to debit my account for money_amount money_amount on 2 separate transactions and the payment_app is the company that he was using i have the actual receipts which i will send you a copy of the pictures snapshots of it i did not give him authorization whatsoever he completely lied to me it was completely botched and i had to cancel my debit card and file a report through fraud through [REDACTED],flan_t5,i am writing this complaint because i was trying to get a refund for my [REDACTED] account ended up getting sent to a weird customer service to where they try to get my bank card information in my personal information they ended up getting ahold of it in a try to debit my account for money_amount money_amount on 2 separate transactions and the payment_app is the company that he was using i have the actual,,i am writing this complaint because i was trying to get a refund for my [REDACTED] account ended up getting sent to a weird customer service to where they try to get my bank card information in my personal information they ended up getting ahold of it in a try to debit my account for money_amount money_amount on 2 separate transactions and the payment_app is the company that he was using i have the actual,,,,,,
baseline_raw,baseline,8,7571971,"my company was acquired by redacted last year and the relationship with my former 401k carrier ( redacted ) was being terminated this year, forcing me to transfer my 401k funds. i chose to directly roll the 401k ( approx $ redacted ) into my new redacted 401k account. redacted insisted on a paper check being sent to my home address from redacted , then sent on to redacted 's retirement services department in il. i received the paper check, added the necessary rollover paperwork, and mailed it all ( usps ) to accenture on redacted / redacted / redacted or redacted from an official usps mailbox in [REDACTED] the check, issued by bank bank, was somehow intercepted, forged, and deposited or cashed on redacted / redacted /28 at redacted . i discovered this on redacted / redacted / redacted when redacted sent me the attached forged check after i inquired about why it still wasn't showing up in my account at redacted . we submitted a declaration of unauthorized endorsement to redacted and their bank ( bank ) the week of redacted / redacted / redacted . i understand their fraud division opened a case with [REDACTED] the same week. i spoke with the police on redacted / redacted /28 to open a report and filed",flan_t5,redacted / redacted /28,,redacted / redacted /28,,,,,,
baseline_raw,baseline,9,4703081,i recently had a fraudulent wire charge for [REDACTED] / redacted / redacted and was denied my phone was stolen and i thi then bbva denied the dispute,flan_t5,Consumer complaint: [REDACTED] / redacted / redacted and was denied my phone was stolen and I thi then bbva denied the dispute,,Consumer complaint: [REDACTED] / redacted / redacted and was denied my phone was stolen and I thi then bbva denied the dispute,,,,,,
baseline_raw,baseline,10,2726110,i received a cashiers check in the amount of redacted it came special delivery through the mail. the date on the check is [REDACTED] . it did n't have any documents attached. i enter a lot of online sweepstakes and contests so i thought it was in connection with that. i took the cashiers check to my bank and told them i was n't sure of where it came from. however it had the correct spelling of my name and the correct address. the tellers checked out the water marks and said it looked good to them. i told them i wanted to deposit the check and told them i did n't want any of it until it cleared. it cleared the next day but i waited a week making sure the check had cleared. i was told again it had cleared so i took out the full amount. i gave some of it to a needy friend and some to my son for clothes. paid off some bills etc. well a day or two passed and all of a sudden the check is not good. i have my checks direct deposited to the account. i use the money to pay the rent. the bank put me at fault taking every penny out of my account for 2 months,flan_t5,i received a cashiers check in the amount of redacted it came special delivery through the mail. the date on the check is [REDACTED],,i received a cashiers check in the amount of redacted it came special delivery through the mail. the date on the check is [REDACTED],,,,,,
